sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,description,fk,material,name,op,price,ptm,sd,size,status,tax_class_id,visibility,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
JT15BKPBBRBL2502,,Bags,simple,Bags,Default Category,base,,"Casual And Cool brown Backpack made from pure jute with multiple Pockets, Padded Back, Two Designer Pockets On Sides And Hidden Base Pocket. Suitable For College Or Other Casual Occasions. ",Yes,Jutecotton, Jute Stylo Brown Backpack,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/t/jt15bkpbbrbl2502_other_3.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/t/jt15bkpbbrbl2502_other_2.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/t/jt15bkpbbrbl2502_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/t/jt15bkpbbrbl2502_other_1.jpg,,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/t/jt15bkpbbrbl2502_other_4.jpg,,5,0
JT15BKPBGRBL2502,,Bags,simple,Bags,Default Category,base,,"Casual And Cool Grey Backpack made from pure jute with multiple Pockets, Padded Back, Two Designer Pockets On Sides And Hidden Base Pocket. Suitable For College Or Other Casual Occasions. ",Yes,Jutecotton,  Grey black Jute Stylo Backpack,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/t/jt15bkpbgrbl2502_other_2_.jpg,,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/t/jt15bkpbgrbl2502_main.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/t/jt15bkpbgrbl2502_other_1_.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/j/t/jt15bkpbgrbl2502_other_3.jpg,,2,0
JC15FBSLGRRB1601,,Bags,simple,Bags,Default Category,base,,Formal Looking Designer Sling Bag With Flap Made From Extremely Durable Jute Cotton Fabric And High Quality Canvas Interiors In Dark Blue Adorned With A Blue Stripe Of Canvas In Gusset And Flap. Will Suit All Your Formal Attire. Looks Trendy And At The Same Time You Are Being Eco Friendly.,Yes,Jutecotton, Grey Sling Bag,No,499,No,No,,1,0,4,10,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/j/c/jc15fbslgrrb1601_other_1.jpg,,4,0
